fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.6009320167727474,0.18467155612296687,7.41793743642225e-61,607,0.4228257000213489,0.01237450004555285,0.03448559995740652,0.4702990000369027
2,0.5737995113939122,0.18635043163114576,1.9323701503502102e-54,607,0.4058057999936864,0.012948599993251264,0.03844820009544492,0.4578066999092698
3,0.5551386041204889,0.19459776673381923,2.3068596147503654e-50,607,0.3907423000782728,0.012074599973857403,0.039128400036133826,0.4425584999844432
4,0.6148586532899363,0.18630527514522185,2.146460781946853e-64,607,0.39340629999060184,0.011962999938987195,0.038287000032141805,0.44426450005266815
5,0.583063946349908,0.18538474360448856,1.455731130241901e-56,607,0.3995266000274569,0.012108800001442432,0.03936769999563694,0.45163959998171777
6,0.6144015361792197,0.17772622260997203,2.8228182834640162e-64,607,0.38707669998984784,0.012709900038316846,0.08746919990517199,0.4878833999391645
7,0.6106364385647081,0.18019839957286735,2.6493228988446694e-63,607,0.3820213000290096,0.01211349992081523,0.03824199992232025,0.4329878999851644
8,0.516937820194832,0.19524535131950319,1.0400313833267897e-42,606,0.3821075999876484,0.012086999951861799,0.03860800003167242,0.4333988999715075
9,0.6193483773253307,0.18493683303127004,1.812556035700341e-65,606,0.3889042999362573,0.012034100014716387,0.038904399960301816,0.4404552000341937
10,0.602696636255894,0.19453402528988056,3.3877633894338975e-61,606,0.3799932000692934,0.012115099932998419,0.039131600060500205,0.43182529998011887
overall,0.5889909271016285,0.18708044831073287,0.0,6067,,,,
10-fold avg ± std,0.5892 ± 0.0310,0.1870 ± 0.0057,-,6067,,,,
