fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.509900323143216,0.15690699185846396,0.002871170764654138,32,0.3699559000087902,0.011534999939613044,0.031084700021892786,0.41307410004083067
2,0.4670202426247269,0.18674318324680347,0.007044068977241235,32,0.361773099983111,0.012700399965979159,0.035692499950528145,0.4106600000523031
3,0.20087411970489233,0.1859563123722392,0.2702921553829285,32,0.3649141000350937,0.01498619990888983,0.03559250000398606,0.41598799999337643
4,0.5043330244454064,0.1656169287677334,0.0032471552315398366,32,0.363598300027661,0.01274309994187206,0.03514529997482896,0.4119726000353694
5,0.7371807206436778,0.14458333043029628,1.4926056008196146e-06,32,0.3688441999256611,0.01840910001192242,0.03587199992034584,0.42361719999462366
6,0.42256673165045266,0.17070955123741277,0.015979929389283366,32,0.3808384999865666,0.012927599949762225,0.03693009994458407,0.43129940005019307
7,0.4214001207378177,0.14951575539176187,0.018226510041926505,31,0.3715997999534011,0.01331240008585155,0.07480709999799728,0.4602315000956878
8,0.4777300567645168,0.16729123158184933,0.006568828755414835,31,0.3617433999897912,0.01286180003080517,0.03575969999656081,0.4108550000237301
9,0.5981738907200411,0.16638515009536117,0.000379198683834661,31,0.36350970005150884,0.01247349998448044,0.035482600098475814,0.4119654999813065
10,0.5850642264773904,0.1629557415116961,0.0005462335833476685,31,0.37596890004351735,0.01354189997073263,0.03664040006697178,0.4266626000171527
overall,0.4994601017907735,0.16622675227991848,2.4223938852914624e-21,316,,,,
10-fold avg ± std,0.4924 ± 0.1326,0.1657 ± 0.0129,-,316,,,,
