Biome,n_samples,Pearson_r_mean,Pearson_r_std,RMSE_mean,RMSE_std,Pearson_r_overall,RMSE_overall,p_value_overall,Processing_Seconds
1,15248,0.3279384766948346,0.022235343428106846,0.18906254879098366,0.003240746564509484,0.3274947776880653,0.18909035781238712,0.0,5.038347600027919
2,397,0.5618316157874771,0.12296008661784019,0.14490966860712284,0.019846604641183485,0.5683438358791084,0.146271298090351,2.4315864606009427e-35,4.378670100006275
3,159,0.518239068256895,0.1391191359626024,0.11855092650511308,0.02149951515076716,0.4840874147989142,0.12015412555363997,1.0154486555337941e-10,4.499572100001387
4,6067,0.5891813540446977,0.031046018943427175,0.18699506050611356,0.005726515781856748,0.5889909271016285,0.18708044831073287,0.0,4.544054299942218
5,937,0.6446650763420427,0.07648817312990068,0.22472890010327357,0.018180502408315025,0.6471545687926071,0.2255016053821311,2.6535869842383506e-112,4.433224400039762
6,1298,0.5857471235606201,0.055447235407146064,0.22235026773301594,0.017259005224454147,0.58629550527525,0.22302419637039136,1.0989262955585016e-120,4.499448699993081
12,316,0.4924243456912138,0.132629323645027,0.16566641764936177,0.012937997841438847,0.4994601017907735,0.16622675227991848,2.4223938852914624e-21,4.2247018000343814
