fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.5858972934362335,0.16792056130002941,7.12576041111015e-05,40,0.3848646000260487,0.012967400019988418,0.03495860006660223,0.4333564001135528
2,0.564044423538104,0.14214504284161447,0.0001503660106007093,40,0.40584459993988276,0.01345450000371784,0.037427700008265674,0.45723449997603893
3,0.5329190247125319,0.13414002572957695,0.000399674852564517,40,0.3756454000249505,0.017605000059120357,0.03641669999342412,0.43018869997467846
4,0.5907667944396471,0.13010562341887288,5.989045925789437e-05,40,0.3788437000475824,0.015186700038611889,0.0357417999766767,0.43028039997443557
5,0.6120323268672498,0.15880612417084702,2.7103410224587905e-05,40,0.3757467999821529,0.01372409996110946,0.03689939994364977,0.42697729996871203
6,0.4872675087626587,0.17345071410463822,0.0014284275375540628,40,0.38822239998262376,0.013655700022354722,0.08338870003353804,0.4858115999959409
7,0.6767583645383017,0.1102278821096868,1.6317848851535907e-06,40,0.36785940011031926,0.013103800010867417,0.03566509997472167,0.4171415000455454
8,0.7054264668882382,0.12431968633955297,5.306677299865789e-07,39,0.38361369993072003,0.015023699961602688,0.03623999992851168,0.43542709993198514
9,0.622792352911565,0.14243222709380088,2.29626913768634e-05,39,0.37898149993270636,0.013058700016699731,0.036000799969770014,0.4285788999404758
10,0.24041160178024062,0.165548798962609,0.14041636825794696,39,0.37211480003315955,0.013500600005500019,0.037309100036509335,0.4235461999196559
overall,0.5683438358791084,0.146271298090351,2.4315864606009427e-35,397,,,,
10-fold avg ± std,0.5618 ± 0.1230,0.1449 ± 0.0198,-,397,,,,
