fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.3291547575954338,0.18804904330670644,7.353636821753393e-40,1525,0.5653959999326617,0.038625000044703484,0.0434227999066934,0.6484813001006842
2,0.317143715564311,0.1911032716628591,5.612764659038291e-37,1525,0.41794920002575964,0.013720199931412935,0.044014699989929795,0.47660529997665435
3,0.2726304434150842,0.18851592737497344,2.1320572645675013e-27,1525,0.4035474000265822,0.01430619996972382,0.0419780999654904,0.46060200000647455
4,0.34605656074152064,0.18991769454449314,3.8447262439548593e-44,1525,0.41340459999628365,0.014268199913203716,0.09356930002104491,0.5220436999807134
5,0.356689352943148,0.18418503286864404,5.656226667199696e-47,1525,0.46150450001005083,0.013138499925844371,0.04064030002336949,0.5161156000103801
6,0.31169281681357575,0.1955614928918941,1.0341470017403417e-35,1525,0.3938186001032591,0.012851000064983964,0.03977689996827394,0.44724499993026257
7,0.33280067972833677,0.18809544729397454,9.234580977542805e-41,1525,0.40279810002539307,0.014039699919521809,0.04160450003109872,0.4592047999612987
8,0.3329987484856215,0.18764521559629463,8.243532573236639e-41,1525,0.40176380006596446,0.013847599970176816,0.040744700003415346,0.4571350000333041
9,0.3413000139556887,0.1926276745975545,6.9811474289448185e-43,1524,0.380023599951528,0.015270399977453053,0.04050220001954585,0.43664029997307807
10,0.33891767770562586,0.18492468777244264,2.8350884978114837e-42,1524,0.3900158000178635,0.013442100025713444,0.08513140003196895,0.4893259999807924
overall,0.3274947776880653,0.18909035781238712,0.0,15248,,,,
10-fold avg ± std,0.3279 ± 0.0222,0.1891 ± 0.0032,-,15248,,,,
