fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.5069589858435035,0.11674918344610963,0.04504810529840148,16,0.3630155000137165,0.012805800070054829,0.0334030999802053,0.40974280005320907
2,0.6229351704228439,0.08720378066665142,0.009946839924878142,16,0.3663705000653863,0.012258399976417422,0.03565579990390688,0.4147956999950111
3,0.6734238348807142,0.11502932434568022,0.0042409811576046095,16,0.38645250000990927,0.014259999967180192,0.08957139996346086,0.4908205000683665
4,0.44213620363399747,0.13272320677404228,0.08638806398397382,16,0.3850722999777645,0.013710899977013469,0.037575699971057475,0.4369004999753088
5,0.4899446688427116,0.1377271434863998,0.05404298425177467,16,0.38794169994071126,0.012740800040774047,0.03990370000246912,0.4411288999253884
6,0.7301505837990094,0.09988346867835865,0.0013204824135292915,16,0.3998430999927223,0.01365729991812259,0.036292599979788065,0.45034099998883903
7,0.284729647011621,0.12609692760612576,0.2851344493793232,16,0.394250400015153,0.011777699925005436,0.03705599997192621,0.4436320000095293
8,0.5546461854989468,0.10400816209572304,0.025759159073916973,16,0.3929758000886068,0.012697700061835349,0.036448400001972914,0.44266330008395016
9,0.5772555366635708,0.10127604112090897,0.019212023135166068,16,0.4027120000682771,0.01565289997961372,0.03796760004479438,0.45688060007523745
10,0.3002098659720317,0.16481202683113078,0.27696435067784864,15,0.40585570002440363,0.013927000109106302,0.0845905999885872,0.5049141000490636
overall,0.4840874147989142,0.12015412555363997,1.0154486555337941e-10,159,,,,
10-fold avg ± std,0.5182 ± 0.1391,0.1186 ± 0.0215,-,159,,,,
