AGB_diff,NDVI_diff,LFMC_diff,VPD_diff,Sc_diff,Rd_diff
-0.04013838246464729,-0.0035666071344166994,0.024379458278417587,0.02465103194117546,-0.046253591775894165,0.006878327578306198
-0.01876353845000267,0.00033718839404173195,-0.0028706940356642008,0.010161703452467918,0.01932789571583271,-0.03343873843550682
-0.016473393887281418,-0.007019622717052698,0.0003161008353345096,0.04009701684117317,-0.06339293718338013,-0.026770681142807007
-0.014086246490478516,-0.0038014408200979233,0.015825193375349045,0.03395119681954384,-0.0032025077380239964,0.02163287252187729
0.004391262773424387,0.0012365567963570356,0.03794299438595772,0.007395544555038214,0.00969283003360033,0.037408605217933655
-0.002823469927534461,-0.007176137994974852,-0.016060445457696915,0.04075949266552925,0.022657040506601334,-0.05008627101778984
-0.014901882968842983,-0.05964072421193123,0.010912878438830376,0.06141604483127594,0.03692258149385452,-0.006463440600782633
0.01522903237491846,-0.030123360455036163,-0.017717942595481873,0.03983311727643013,0.0016355786938220263,-0.02288370579481125
-0.011194078251719475,-0.05178777128458023,-0.019882753491401672,0.05762148275971413,0.0020920231472700834,-0.0164105836302042
0.04327265918254852,-0.0618436336517334,0.013003282248973846,0.046403758227825165,0.02931166999042034,0.0042986576445400715
-0.009601437486708164,0.0032375138252973557,0.01767340861260891,0.03797364607453346,0.002942244987934828,0.008732649497687817
0.00881208572536707,0.007158596068620682,0.0282068382948637,0.03513377159833908,-0.06506957113742828,0.017707379534840584
0.008277412503957748,-0.018860606476664543,0.0034692217595875263,0.0175447016954422,0.001077207736670971,-0.013812783174216747
0.055838000029325485,-0.008225896395742893,0.009163743816316128,0.05359885096549988,0.007510297931730747,0.007390651386231184
0.04938880354166031,-0.007745902985334396,0.020099051296710968,0.06331122666597366,0.025713542476296425,0.022980377078056335
-0.01851496659219265,-0.0023578547406941652,0.0015986920334398746,0.06026154011487961,-0.0032250983640551567,-0.008846870623528957
0.01682528667151928,-0.037187639623880386,-0.002580119762569666,-0.08579684048891068,0.0041494001634418964,0.012988585978746414
0.026021961122751236,-0.02709249034523964,0.0073943049646914005,-0.06378451734781265,0.0067762574180960655,0.032474584877491
0.017650386318564415,-0.0315091647207737,-0.004182663280516863,-0.07387419044971466,-0.030853858217597008,0.01079742331057787
0.020287953317165375,-0.02086860127747059,0.0037325636949390173,-0.06768729537725449,-0.039407651871442795,0.016724994406104088
0.02827165275812149,0.012597420252859592,-0.0035988599993288517,-0.07924377918243408,0.007153045851737261,0.01413291972130537
0.03935667872428894,0.0026255776174366474,0.01966750994324684,0.019999820739030838,0.009607520885765553,0.010715831071138382
