fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.6810522605994105,0.22589357251224232,4.249429282393028e-14,94,0.38195379998069257,0.011404899996705353,0.03224450000561774,0.4261244999943301
2,0.5202200802210589,0.19594701618691532,7.702480130867283e-08,94,0.3701808999758214,0.012230099993757904,0.07570979988668114,0.4586400000844151
3,0.5803143206090874,0.2500301010295706,8.77483090525459e-10,94,0.3872148999944329,0.012279000016860664,0.03627359995152801,0.43629019998479635
4,0.6485098366581473,0.23881761206613986,1.5812995782507525e-12,94,0.38579919992480427,0.01792900008149445,0.03735080000478774,0.44159469997975975
5,0.5496800217934036,0.21229342521385808,9.588924320379918e-09,94,0.3792915999656543,0.012409299961291254,0.035834899987094104,0.42804719996638596
6,0.7112240082850825,0.23907531832471546,9.558304692203635e-16,94,0.37844050000421703,0.012640099972486496,0.03589159995317459,0.42749139992520213
7,0.6856616342673713,0.24679658125477372,2.4513858570430603e-14,94,0.3860051999799907,0.013170700054615736,0.03808620001655072,0.43796829995699227
8,0.7938662329070162,0.1976732394271989,2.2909376431756598e-21,93,0.39427589997649193,0.012266699923202395,0.08078159997239709,0.4878472000127658
9,0.632730029083357,0.22351566695935263,1.0179110437581761e-11,93,0.38531819998752326,0.012774100061506033,0.03631840005982667,0.43494209996424615
10,0.6433923389964933,0.21724646805796866,3.525909048969851e-12,93,0.390982799930498,0.013225500006228685,0.03651259990874678,0.4412288999883458
overall,0.6471545687926071,0.2255016053821311,2.6535869842383506e-112,937,,,,
10-fold avg ± std,0.6447 ± 0.0765,0.2247 ± 0.0182,-,937,,,,
